"","IXIC.Open","IXIC.High","IXIC.Low","IXIC.Close","IXIC.Volume","IXIC.Adjusted"
"2012-01-01",2657.389893,2834.300049,2627.22998,2813.840088,35325900000,2813.840088
"2012-02-01",2830.100098,3000.110107,2825.189941,2966.889893,37728460000,2966.889893
"2012-03-01",2979.110107,3134.169922,2900.280029,3091.570068,36686310000,3091.570068
"2012-04-01",3085.939941,3128.25,2946.040039,3046.360107,33793990000,3046.360107
"2012-05-01",3044.790039,3085.399902,2774.449951,2827.340088,40115930000,2827.340088
"2012-06-01",2810.129883,2942.280029,2726.679932,2935.050049,37458650000,2935.050049
"2012-07-01",2938.409912,2987.939941,2837.719971,2939.52002,34686680000,2939.52002
"2012-08-01",2956.719971,3100.540039,2890.850098,3066.959961,35708950000,3066.959961
"2012-09-01",3063.25,3196.929932,3040.23999,3116.22998,33719730000,3116.22998
"2012-10-01",3130.310059,3171.459961,2961.159912,2977.22998,36367020000,2977.22998
"2012-11-01",2987.540039,3033.850098,2810.800049,3010.23999,36894240000,3010.23999
"2012-12-01",3029.209961,3061.820068,2951.040039,3019.51001,33522490000,3019.51001
"2013-01-01",3091.330078,3164.060059,3076.600098,3142.129883,39027620000,3142.129883
"2013-02-01",3162.939941,3213.600098,3105.360107,3160.189941,35765430000,3160.189941
"2013-03-01",3143.540039,3270.300049,3129.399902,3267.52002,33749180000,3267.52002
"2013-04-01",3268.629883,3328.790039,3154.959961,3328.790039,36904330000,3328.790039
"2013-05-01",3325.350098,3532.040039,3296.5,3455.909912,39144080000,3455.909912
"2013-06-01",3460.76001,3488.310059,3294.949951,3403.25,37528250000,3403.25
"2013-07-01",3430.47998,3649.350098,3415.22998,3626.370117,35889520000,3626.370117
"2013-08-01",3654.179932,3694.189941,3573.570068,3589.870117,32934650000,3589.870117
"2013-09-01",3622.639893,3798.76001,3593.620117,3771.47998,34997740000,3771.47998
"2013-10-01",3774.179932,3966.709961,3650.030029,3919.709961,43017190000,3919.709961
"2013-11-01",3932.449951,4069.699951,3855.070068,4059.889893,35818470000,4059.889893
"2013-12-01",4065.659912,4177.72998,3979.590088,4176.589844,37139280000,4176.589844
"2014-01-01",4160.029785,4246.549805,4044.76001,4103.879883,45227610000,4103.879883
"2014-02-01",4105.060059,4342.589844,3968.189941,4308.120117,39978180000,4308.120117
"2014-03-01",4261.419922,4371.709961,4131.810059,4198.990234,46796180000,4198.990234
"2014-04-01",4219.870117,4286.089844,3946.030029,4114.560059,44391220000,4114.560059
"2014-05-01",4121.25,4252.080078,4021.050049,4242.620117,39290130000,4242.620117
"2014-06-01",4247.959961,4417.459961,4207.609863,4408.180176,40249370000,4408.180176
"2014-07-01",4424.709961,4485.930176,4351.040039,4369.77002,39536410000,4369.77002
"2014-08-01",4363.390137,4580.27002,4321.890137,4580.27002,33417300000,4580.27002
"2014-09-01",4592.419922,4610.569824,4464.439941,4493.390137,39631130000,4493.390137
"2014-10-01",4486.649902,4641.509766,4116.600098,4630.740234,50136190000,4630.740234
"2014-11-01",4633.709961,4810.859863,4594.919922,4791.629883,32967990000,4791.629883
"2014-12-01",4777.72998,4814.950195,4547.310059,4736.049805,39587090000,4736.049805
"2015-01-01",4760.240234,4777.009766,4563.109863,4635.240234,38719030000,4635.240234
"2015-02-01",4650.600098,4989.25,4580.459961,4963.529785,35773090000,4963.529785
"2015-03-01",4973.430176,5042.140137,4825.930176,4900.879883,41204240000,4900.879883
"2015-04-01",4894.359863,5119.830078,4844.390137,4941.419922,37409760000,4941.419922
"2015-05-01",4966.319824,5111.540039,4888.169922,5070.029785,35994540000,5070.029785
"2015-06-01",5094.939941,5164.359863,4956.22998,4986.870117,41338820000,4986.870117
"2015-07-01",5029.049805,5231.939941,4901.509766,5128.279785,40633420000,5128.279785
"2015-08-01",5134.339844,5175.259766,4292.140137,4776.509766,43408300000,4776.509766
"2015-09-01",4673.609863,4960.870117,4487.060059,4620.160156,41503920000,4620.160156
"2015-10-01",4624.459961,5095.689941,4552.339844,5053.75,42348240000,5053.75
"2015-11-01",5065.640137,5163.470215,4908.660156,5108.669922,36834860000,5108.669922
"2015-12-01",5129.640137,5176.77002,4871.589844,5007.410156,40617940000,5007.410156
"2016-01-01",4897.649902,4926.72998,4313.390137,4613.950195,44877130000,4613.950195
"2016-02-01",4587.589844,4636.930176,4209.759766,4557.950195,43108650000,4557.950195
"2016-03-01",4596.009766,4899.140137,4581.75,4869.850098,40738880000,4869.850098
"2016-04-01",4842.549805,4969.319824,4740.839844,4775.359863,38014300000,4775.359863
"2016-05-01",4786.549805,4951.450195,4678.379883,4948.049805,38803240000,4948.049805
"2016-06-01",4928.970215,4980.140137,4574.25,4842.669922,44213900000,4842.669922
"2016-07-01",4837.180176,5175.810059,4786.009766,5162.129883,36050040000,5162.129883
"2016-08-01",5167.419922,5275.740234,5109.799805,5213.220215,38754780000,5213.220215
"2016-09-01",5218.279785,5342.879883,5097.799805,5312,40054600000,5312
"2016-10-01",5300.290039,5340.52002,5169.759766,5189.140137,34644850000,5189.140137
"2016-11-01",5199.77002,5403.859863,5034.410156,5323.680176,41870720000,5323.680176
"2016-12-01",5323.879883,5512.370117,5238.209961,5383.120117,38559260000,5383.120117
"2017-01-01",5425.620117,5669.609863,5397.990234,5614.790039,36027970000,5614.790039
"2017-02-01",5654.509766,5867.890137,5616.399902,5825.439941,36709560000,5825.439941
"2017-03-01",5874.859863,5928.060059,5769.390137,5911.740234,43937720000,5911.740234
"2017-04-01",5917.319824,6074.040039,5805.149902,6047.609863,33793200000,6047.609863
"2017-05-01",6067.560059,6221.990234,5996.810059,6198.52002,42285390000,6198.52002
"2017-06-01",6215.910156,6341.700195,6087.810059,6140.419922,48689910000,6140.419922
"2017-07-01",6173.290039,6460.839844,6081.959961,6348.120117,36063120000,6348.120117
"2017-08-01",6372.160156,6435.27002,6177.189941,6428.660156,41236800000,6428.660156
"2017-09-01",6442.169922,6497.97998,6334.589844,6495.959961,38177120000,6495.959961
"2017-10-01",6506.080078,6737.75,6484.140137,6727.669922,41421370000,6727.669922
"2017-11-01",6758.640137,6914.189941,6667.310059,6873.970215,41870380000,6873.970215
"2017-12-01",6844.040039,7003.890137,6734.129883,6903.390137,38573170000,6903.390137
"2018-01-01",6937.649902,7505.77002,6924.080078,7411.47998,44405890000,7411.47998
"2018-02-01",7377.169922,7441.089844,6630.669922,7273.009766,43791970000,7273.009766
"2018-03-01",7274.75,7637.27002,6901.069824,7063.450195,48355130000,7063.450195
"2018-04-01",7016.169922,7319.580078,6805.959961,7066.27002,42932190000,7066.27002
"2018-05-01",7053.649902,7492.419922,6991.140137,7442.120117,45405220000,7442.120117
"2018-06-01",7487.660156,7806.600098,7419.560059,7510.299805,48305960000,7510.299805
"2018-07-01",7451.899902,7933.310059,7443.100098,7671.790039,38678490000,7671.790039
"2018-08-01",7701.819824,8133.299805,7659.52002,8109.540039,45900880000,8109.540039
"2018-09-01",8087.950195,8104.069824,7873.930176,8046.350098,44545790000,8046.350098
"2018-10-01",8091.5,8107.379883,6922.830078,7305.899902,61400960000,7305.899902
"2018-11-01",7327.819824,7572.930176,6830.759766,7330.540039,48560650000,7330.540039
"2018-12-01",7486.129883,7486.509766,6190.169922,6635.279785,48808340000,6635.279785
"2019-01-01",6506.910156,7303.120117,6457.129883,7281.740234,49199040000,7281.740234
"2019-02-01",7256.370117,7602.689941,7225.140137,7532.529785,42304540000,7532.529785
"2019-03-01",7587.450195,7850.109863,7332.919922,7729.319824,49145540000,7729.319824
"2019-04-01",7800.240234,8176.080078,7777.089844,8095.390137,43162800000,8095.390137
"2019-05-01",8132.930176,8164.709961,7448.22998,7453.149902,47405100000,7453.149902
"2019-06-01",7441.209961,8088.879883,7292.220215,8006.240234,44505410000,8006.240234
"2019-07-01",8145.850098,8339.639648,8059.290039,8175.419922,39238360000,8175.419922
"2019-08-01",8190.560059,8311.040039,7662.899902,7962.879883,46090570000,7962.879883
"2019-09-01",7906.439941,8243.799805,7847.319824,7999.339844,41462650000,7999.339844
"2019-10-01",8026.830078,8335.55957,7700,8292.360352,43976360000,8292.360352
"2019-11-01",8335.049805,8705.910156,8326.55957,8665.469727,41581990000,8665.469727
"2019-12-01",8672.839844,9052,8435.400391,8972.599609,45940880000,8972.599609
"2020-01-01",9039.459961,9451.429688,8943.5,9150.94043,52456350000,9150.94043
"2020-02-01",9190.719727,9838.370117,8264.160156,8567.370117,53633950000,8567.370117
"2020-03-01",8667.139648,9070.320313,6631.419922,7700.100098,96874040000,7700.100098
"2020-04-01",7459.5,8957.269531,7288.109863,8889.549805,78697140000,8889.549805
"2020-05-01",8681.290039,9523.639648,8537.830078,9489.870117,80634290000,9489.870117
"2020-06-01",9471.419922,10221.849609,9403,10058.769531,111455270000,10058.769531
"2020-07-01",10063.669922,10839.929688,10048.040039,10745.269531,94321170000,10745.269531
"2020-08-01",10848.639648,11829.839844,10762.709961,11775.459961,78408230000,11775.459961
"2020-09-01",11850.959961,12074.05957,10519.490234,11167.509766,82059450000,11167.509766
"2020-10-01",11291.990234,11965.540039,10822.570313,10911.589844,77827120000,10911.589844
"2020-11-01",11010.450195,12244.650391,10830.950195,12198.740234,90598610000,12198.740234
"2020-12-01",12313.360352,12973.330078,12214.740234,12888.280273,111707090000,12888.280273
"2021-01-01",12958.519531,13728.980469,12543.240234,13070.69043,138076160000,13070.69043
"2021-02-01",13226.179688,14175.120117,13003.980469,13192.349609,140197980000,13192.349609
"2021-03-01",13406.160156,13620.709961,12397.049805,13246.870117,133298300000,13246.870117
"2021-04-01",13414.320313,14211.570313,13404.179688,13962.679688,91050570000,13962.679688
"2021-05-01",14031.769531,14042.120117,13002.540039,13748.740234,88957750000,13748.740234
"2021-06-01",13829.05957,14535.969727,13548.929688,14503.950195,107636930000,14503.950195
"2021-07-01",14493.69043,14863.650391,14178.660156,14672.679688,88145720000,14672.679688
